case,hh_size,n_adult,n_child,age,disp_income_week,eq_scale,sex_code,emp_code,eth_code,mar_code,tenure_code,educ_code,region_code,lone_parent,sex_cat,emp_cat,eth_cat,mar_cat,tenure_cat,educ_cat,region_cat
34,3.0,2.0,1.0,39.0,1248.56,1.8,1.0,2.0,1.0,3.0,7.0,1.0,11.0,2.0,Male,Full-time employee,White,Cohabitee,Owned outright,Degree or equivalent,Scotland
35,4.0,1.0,3.0,32.0,423.32,2.1,2.0,3.0,1.0,4.0,1.0,5.0,6.0,1.0,Female,Part-time employee,White,Single,LA (furnished unfurnished),O-Level or GCSE A-C,Eastern
36,3.0,2.0,1.0,36.0,583.81,1.8,1.0,3.0,1.0,3.0,3.0,6.0,5.0,2.0,Male,Part-time employee,White,Cohabitee,Priv. rented (unfurn),GCSE D-G,West Midlands
37,2.0,2.0,0.0,63.0,1125.3,1.5,1.0,2.0,1.0,1.0,5.0,,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,,South East
38,2.0,2.0,0.0,64.0,398.282,1.5,1.0,7.0,1.0,1.0,7.0,,11.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Scotland
39,3.0,3.0,0.0,67.0,768.756,2.0,1.0,2.0,1.0,1.0,7.0,7.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Eastern
40,4.0,3.0,1.0,40.0,754.97,2.3,2.0,3.0,1.0,1.0,5.0,2.0,4.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,East Midlands
41,2.0,2.0,0.0,70.0,378.764,1.5,1.0,6.0,1.0,3.0,2.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Cohabitee,Hsng Assn (furnished unfrnish),,South East
42,5.0,2.0,3.0,27.0,452.1,2.4,1.0,2.0,1.0,3.0,1.0,5.0,3.0,2.0,Male,Full-time employee,White,Cohabitee,LA (furnished unfurnished),O-Level or GCSE A-C,Yorkshire and the Humber
43,2.0,2.0,0.0,72.0,384.904,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
44,3.0,2.0,1.0,45.0,213.65,1.8,2.0,7.0,1.0,6.0,7.0,7.0,12.0,1.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Owned outright,"Other, including foreign qualification below degree level",Northern Ireland
45,4.0,4.0,0.0,52.0,1040.8236,2.5,1.0,2.0,1.0,3.0,7.0,2.0,8.0,2.0,Male,Full-time employee,White,Cohabitee,Owned outright,Higher education qualification below degree level,South East
46,4.0,2.0,2.0,27.0,744.2606,2.1,1.0,2.0,1.0,3.0,5.0,4.0,8.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,ONC National level/BTEC,South East
47,3.0,3.0,0.0,49.0,432.33,2.0,1.0,2.0,1.0,1.0,5.0,,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,,South East
48,3.0,3.0,0.0,67.0,452.332,2.0,1.0,6.0,10.0,1.0,7.0,7.0,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,Other ethnic group,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",London
49,2.0,2.0,0.0,50.0,636.5,1.5,2.0,2.0,1.0,6.0,5.0,5.0,2.0,2.0,Female,Full-time employee,White,Divorced,Owned with mortgage,O-Level or GCSE A-C,North West and Merseyside
50,1.0,1.0,0.0,80.0,263.69,1.0,1.0,6.0,1.0,6.0,2.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Divorced,Hsng Assn (furnished unfrnish),,North West and Merseyside
51,1.0,1.0,0.0,38.0,558.7636,1.0,2.0,3.0,1.0,4.0,5.0,1.0,8.0,2.0,Female,Part-time employee,White,Single,Owned with mortgage,Degree or equivalent,South East
52,1.0,1.0,0.0,61.0,184.52,1.0,2.0,7.0,1.0,6.0,1.0,7.0,9.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Divorced,LA (furnished unfurnished),"Other, including foreign qualification below degree level",South West
53,2.0,2.0,0.0,60.0,634.07,1.5,1.0,2.0,1.0,1.0,7.0,5.0,2.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,North West and Merseyside
54,2.0,2.0,0.0,66.0,550.072,1.5,1.0,6.0,1.0,1.0,7.0,1.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,South East
55,6.0,5.0,1.0,46.0,1630.56,3.5,2.0,3.0,1.0,1.0,5.0,4.0,3.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Owned with mortgage,ONC National level/BTEC,Yorkshire and the Humber
56,2.0,2.0,0.0,80.0,405.83,1.5,1.0,6.0,1.0,1.0,5.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned with mortgage,,South East
57,2.0,2.0,0.0,64.0,630.82,1.5,1.0,2.0,1.0,1.0,7.0,2.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,Eastern
58,2.0,2.0,0.0,29.0,541.0117846153846,1.5,2.0,2.0,10.0,1.0,4.0,1.0,7.0,2.0,Female,Full-time employee,Other ethnic group,Married and living with your husband/wife,Priv. rented (furnished),Degree or equivalent,London
59,2.0,2.0,0.0,61.0,861.9,1.5,1.0,2.0,1.0,1.0,7.0,5.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,South East
60,2.0,2.0,0.0,73.0,690.59,1.5,1.0,6.0,1.0,1.0,7.0,,10.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Wales
61,1.0,1.0,0.0,61.0,0.0,1.0,1.0,4.0,1.0,6.0,3.0,5.0,8.0,2.0,Male,Unemployed,White,Divorced,Priv. rented (unfurn),O-Level or GCSE A-C,South East
62,3.0,3.0,0.0,61.0,605.52,2.0,1.0,3.0,1.0,1.0,7.0,7.0,3.0,2.0,Male,Part-time employee,White,Married and living with your husband/wife,Owned outright,"Other, including foreign qualification below degree level",Yorkshire and the Humber
63,1.0,1.0,0.0,66.0,153.412,1.0,1.0,6.0,1.0,7.0,1.0,4.0,11.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Separated,LA (furnished unfurnished),ONC National level/BTEC,Scotland
64,2.0,2.0,0.0,78.0,374.814,1.5,1.0,6.0,1.0,1.0,2.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),,Eastern
65,2.0,2.0,0.0,58.0,718.0258,1.5,1.0,2.0,1.0,1.0,5.0,3.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,A-Levels/Highers,South West
66,1.0,1.0,0.0,73.0,284.64,1.0,2.0,6.0,1.0,5.0,7.0,,5.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,West Midlands
67,5.0,2.0,3.0,43.0,1344.76,2.4,1.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,West Midlands
68,2.0,2.0,0.0,46.0,209.18,1.5,1.0,1.0,1.0,1.0,7.0,5.0,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,North West and Merseyside
69,4.0,2.0,2.0,51.0,1030.31,2.1,1.0,1.0,1.0,1.0,5.0,6.0,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,GCSE D-G,North West and Merseyside
70,4.0,4.0,0.0,58.0,965.97,2.5,1.0,2.0,1.0,1.0,7.0,5.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,Eastern
71,2.0,2.0,0.0,75.0,871.404,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
72,4.0,3.0,1.0,50.0,1041.79,2.5,2.0,3.0,1.0,1.0,5.0,5.0,8.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,South East
73,2.0,2.0,0.0,44.0,1130.8242,1.5,2.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
74,1.0,1.0,0.0,58.0,521.67,1.0,2.0,7.0,1.0,5.0,7.0,1.0,6.0,2.0,Female,Retired/unoccupied but under minimum NI Pension age,White,Widowed,Owned outright,Degree or equivalent,Eastern
75,2.0,1.0,1.0,25.0,518.87,1.3,2.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,Female,Part-time employee,White,Single,Priv. rented (unfurn),A-Levels/Highers,North East
76,3.0,2.0,1.0,43.0,405.73,2.0,2.0,3.0,1.0,4.0,1.0,,1.0,1.0,Female,Part-time employee,White,Single,LA (furnished unfurnished),,North East
77,2.0,2.0,0.0,65.0,477.642,1.5,1.0,6.0,1.0,1.0,7.0,2.0,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,South West
78,4.0,4.0,0.0,67.0,371.53,2.5,1.0,6.0,1.0,1.0,7.0,1.0,5.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,West Midlands
79,3.0,2.0,1.0,44.0,607.8,1.8,1.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
80,1.0,1.0,0.0,42.0,600.03,1.0,1.0,2.0,1.0,5.0,5.0,6.0,6.0,2.0,Male,Full-time employee,White,Widowed,Owned with mortgage,GCSE D-G,Eastern
81,2.0,2.0,0.0,52.0,1489.24,1.5,1.0,7.0,1.0,1.0,5.0,1.0,9.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South West
82,1.0,1.0,0.0,80.0,473.45,1.0,2.0,6.0,1.0,4.0,7.0,,10.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Single,Owned outright,,Wales
83,1.0,1.0,0.0,39.0,646.2,1.0,1.0,2.0,1.0,4.0,3.0,1.0,6.0,2.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),Degree or equivalent,Eastern
84,4.0,2.0,2.0,41.0,1630.56,2.1,1.0,2.0,1.0,1.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,London
85,3.0,1.0,2.0,32.0,238.82,1.6,2.0,4.0,1.0,4.0,3.0,4.0,4.0,1.0,Female,Unemployed,White,Single,Priv. rented (unfurn),ONC National level/BTEC,East Midlands
86,4.0,2.0,2.0,39.0,1630.56,2.1,2.0,2.0,10.0,1.0,5.0,1.0,7.0,2.0,Female,Full-time employee,Other ethnic group,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,London
87,1.0,1.0,0.0,80.0,193.452,1.0,2.0,6.0,1.0,4.0,7.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Single,Owned outright,,Eastern
88,2.0,2.0,0.0,80.0,296.17,1.5,2.0,6.0,1.0,1.0,7.0,,10.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Wales
89,2.0,2.0,0.0,62.0,497.26,1.5,1.0,2.0,1.0,1.0,5.0,7.0,9.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",South West
90,2.0,2.0,0.0,64.0,574.72,1.5,2.0,6.0,1.0,3.0,7.0,5.0,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Cohabitee,Owned outright,O-Level or GCSE A-C,South East
91,3.0,1.0,2.0,43.0,493.33,1.8,1.0,2.0,1.0,4.0,3.0,7.0,5.0,1.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),"Other, including foreign qualification below degree level",West Midlands
92,5.0,5.0,0.0,54.0,1037.73,3.0,1.0,2.0,1.0,3.0,5.0,7.0,4.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,"Other, including foreign qualification below degree level",East Midlands
93,3.0,2.0,1.0,33.0,688.32,1.8,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),A-Levels/Highers,Yorkshire and the Humber
94,2.0,2.0,0.0,52.0,261.092,1.5,1.0,7.0,1.0,1.0,3.0,,3.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Priv. rented (unfurn),,Yorkshire and the Humber
95,2.0,2.0,0.0,28.0,1630.56,1.5,1.0,2.0,1.0,4.0,5.0,1.0,7.0,2.0,Male,Full-time employee,White,Single,Owned with mortgage,Degree or equivalent,London
96,4.0,2.0,2.0,48.0,1015.63,2.1,2.0,2.0,1.0,3.0,5.0,2.0,11.0,2.0,Female,Full-time employee,White,Cohabitee,Owned with mortgage,Higher education qualification below degree level,Scotland
97,2.0,2.0,0.0,48.0,885.99,1.5,1.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,East Midlands
98,1.0,1.0,0.0,67.0,477.85,1.0,1.0,6.0,1.0,5.0,7.0,8.0,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,No formal qualifications,London
99,2.0,2.0,0.0,63.0,530.72,1.5,2.0,3.0,1.0,1.0,7.0,,9.0,2.0,Female,Part-time employee,White,Married and living with your husband/wife,Owned outright,,South West
100,2.0,2.0,0.0,80.0,302.1,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
101,1.0,1.0,0.0,69.0,260.312,1.0,2.0,3.0,1.0,5.0,1.0,7.0,1.0,2.0,Female,Part-time employee,White,Widowed,LA (furnished unfurnished),"Other, including foreign qualification below degree level",North East
102,1.0,1.0,0.0,50.0,416.71,1.0,1.0,1.0,1.0,6.0,5.0,3.0,9.0,2.0,Male,Self-employed,White,Divorced,Owned with mortgage,A-Levels/Highers,South West
103,2.0,2.0,0.0,54.0,650.33,1.5,2.0,2.0,1.0,5.0,7.0,5.0,8.0,2.0,Female,Full-time employee,White,Widowed,Owned outright,O-Level or GCSE A-C,South East
104,1.0,1.0,0.0,71.0,709.902,1.0,2.0,6.0,1.0,4.0,7.0,,3.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Single,Owned outright,,Yorkshire and the Humber
105,2.0,2.0,0.0,48.0,728.96,1.5,1.0,2.0,1.0,1.0,5.0,5.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,East Midlands
106,4.0,2.0,2.0,30.0,502.6718,2.1,1.0,2.0,1.0,1.0,3.0,5.0,8.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Priv. rented (unfurn),O-Level or GCSE A-C,South East
107,3.0,2.0,1.0,51.0,844.9044,1.8,1.0,2.0,1.0,1.0,5.0,7.0,5.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,"Other, including foreign qualification below degree level",West Midlands
108,3.0,2.0,1.0,30.0,849.11,1.8,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Higher education qualification below degree level,North East
109,3.0,3.0,0.0,80.0,1257.17,2.0,1.0,6.0,1.0,5.0,7.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,North West and Merseyside
110,2.0,2.0,0.0,67.0,658.112,1.5,1.0,6.0,1.0,1.0,7.0,1.0,3.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Yorkshire and the Humber
111,2.0,2.0,0.0,59.0,0.0,1.5,1.0,4.0,1.0,3.0,7.0,5.0,6.0,2.0,Male,Unemployed,White,Cohabitee,Owned outright,O-Level or GCSE A-C,Eastern
112,1.0,1.0,0.0,59.0,128.272,1.0,1.0,7.0,1.0,6.0,5.0,3.0,8.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Owned with mortgage,A-Levels/Highers,South East
113,2.0,2.0,0.0,65.0,624.26,1.5,1.0,6.0,1.0,1.0,7.0,2.0,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,South East
114,4.0,2.0,2.0,55.0,1312.98,2.1,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Priv. rented (unfurn),Higher education qualification below degree level,North West and Merseyside
115,4.0,3.0,1.0,53.0,498.39,2.5,1.0,1.0,1.0,1.0,7.0,5.0,12.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,Northern Ireland
116,1.0,1.0,0.0,65.0,586.94,1.0,2.0,6.0,1.0,5.0,7.0,7.0,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,"Other, including foreign qualification below degree level",South East
117,5.0,5.0,0.0,49.0,832.99,3.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,East Midlands
118,2.0,2.0,0.0,72.0,399.842,1.5,1.0,6.0,1.0,1.0,7.0,,2.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,North West and Merseyside
119,2.0,2.0,0.0,72.0,244.234,1.5,1.0,6.0,1.0,1.0,7.0,,3.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Yorkshire and the Humber
120,2.0,2.0,0.0,49.0,427.97,1.5,2.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,Female,Full-time employee,White,Single,Owned with mortgage,Higher education qualification below degree level,North West and Merseyside
121,2.0,2.0,0.0,25.0,1015.4,1.5,2.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
122,2.0,2.0,0.0,58.0,326.13,1.5,1.0,7.0,1.0,1.0,2.0,,2.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Hsng Assn (furnished unfrnish),,North West and Merseyside
123,1.0,1.0,0.0,80.0,298.56,1.0,2.0,6.0,1.0,5.0,7.0,,6.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,Eastern
124,2.0,2.0,0.0,65.0,590.674,1.5,2.0,2.0,1.0,1.0,5.0,,4.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,,East Midlands
125,4.0,2.0,2.0,40.0,1328.25,2.1,1.0,2.0,1.0,1.0,7.0,1.0,6.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Eastern
126,2.0,2.0,0.0,72.0,333.592,1.5,1.0,6.0,1.0,1.0,1.0,,1.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,LA (furnished unfurnished),,North East
127,1.0,1.0,0.0,73.0,258.4,1.0,1.0,6.0,1.0,6.0,1.0,,8.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Divorced,LA (furnished unfurnished),,South East
128,2.0,2.0,0.0,66.0,1329.052,1.5,1.0,1.0,1.0,1.0,7.0,1.0,10.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,Wales
129,1.0,1.0,0.0,80.0,483.802,1.0,2.0,6.0,1.0,5.0,7.0,,4.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Owned outright,,East Midlands
